ID|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4
672|I've devised a strategy to win us this game.|私たちを勝利に導く戦略を考案しました。|I've devised a strategy^S+V+O^core^私は戦略を考案した|to win us this game.^Infinitive^modifier^私たちにこのゲームを勝たせるための||
673|Let's use what we've got rather than reinvent the wheel.|車輪の再発明（一から作り直し）をするより、今あるものを使いましょう。|Let's use^Imperative^core^使いましょう|what we've got^Object Clause^core^私たちが持っているものを|rather than reinvent the wheel.^Conjunction^connector^車輪の再発明をするよりむしろ|
674|The restaurant was completely deserted when I visited last time.|前回行った時、そのレストランは完全にガラガラでした。|The restaurant was^S+V^core^そのレストランは～だった|completely deserted^Complement^core^完全に人気がなかった|when I visited last time.^Time Clause^modifier^私が前回訪れた時|
675|What kind of training do I need to do to further my career?|キャリアを前進させるためには、どんなトレーニングが必要ですか？|What kind of training^Object^core^どんな種類のトレーニングを|do I need to do^S+V^core^私はする必要がありますか|to further my career?^Infinitive^modifier^私のキャリアを前進させるために|
676|I think intelligence and education are closely related.|知能と教育は密接に関連していると思います。|I think^S+V^core^私は思う|intelligence and education are^Clause (S+V)^core^知性と教育は～だと|closely related.^Participle (Comp)^core^密接に関連している|
677|Just because they're adults doesn't mean they're smarter than you.|大人だからといって、あなたより賢いとは限りません。|Just because they're adults^Subject Clause^core^彼らが大人だからといって|doesn't mean^Verb^core^意味しない（～とは限らない）|they're smarter than you.^Object Clause^core^彼らがあなたより賢いことを|
678|Sam is going to be the acting manager while Andrew is away.|アンドリューが不在の間、サムがマネージャー代行を務めます。|Sam is going to be^S+V+C^core^サムは～になる予定だ|the acting manager^Complement^core^マネージャー代行に|while Andrew is away.^Conjunction+Clause^connector^アンドリューが不在の間|
679|My fridge just died, so I'm going to buy a new one tomorrow.|冷蔵庫が壊れたので、明日新しいのを買いに行きます。|My fridge just died,^S+V^core^私の冷蔵庫がたった今死んだ（壊れた）|so^Conjunction^connector^だから|I'm going to buy a new one^S+V+O^core^私は新しいのを買うつもりだ|tomorrow.^Adverb^modifier^明日
680|What's the best way to accumulate miles as quickly as possible?|できるだけ早くマイルを貯める最善の方法は何ですか？|What's the best way^Question^core^最善の方法は何ですか|to accumulate miles^Infinitive^modifier^マイルを蓄積するための|as quickly as possible?^Adverb^modifier^できるだけ早く|
681|What's the easiest way to become a CIA agent?|CIAのエージェントになる一番簡単な方法は何ですか？|What's the easiest way^Question^core^最も簡単な方法は何か|to become^Infinitive^modifier^～になるための|a CIA agent?^Complement^core^CIAエージェントに|
682|The best investment you'll ever make is in your own education.|あなたができる最高の投資は、自分自身の教育への投資です。|The best investment^Subject^core^最高の投資は|you'll ever make^Relative Clause^modifier^あなたがこれまでにするであろう|is in your own education.^Verb+Prep^core^あなた自身の教育の中にある|
683|Aaron suggested a book for me, so I'm going to get my hands on it tonight.|アーロンが本を勧めてくれたので、今夜手に入れるつもりです。|Aaron suggested a book^S+V+O^core^アーロンは本を勧めた|for me,^Preposition^modifier^私に|so I'm going to get my hands on it^Conjunction+Clause^connector^だから私はそれを手に入れるつもりだ|tonight.^Adverb^modifier^今夜
684|In recent years, the voter turnout rate in Japan has been falling.|近年、日本の投票率は低下しています。|In recent years,^Adverb^modifier^近年|the voter turnout rate in Japan^Subject^core^日本の投票率は|has been falling.^Verb^core^落ち続けている|
685|I'm glad my new video received a lot of favorable reviews.|新しい動画が良い評価をたくさんもらえて嬉しいです。|I'm glad^S+V+C^core^私は嬉しい|my new video received^Clause (S+V+O)^core^私の新しい動画が受け取ったことが|a lot of favorable reviews.^Object^core^多くの好意的なレビューを|
686|I just can't believe some people still think that the Earth is flat.|地球が平らだとまだ思っている人がいるなんて、信じられません。|I just can't believe^S+V^core^私はただ信じられない|some people still think^Object Clause^core^いまだに考えている人がいることを|that the Earth is flat.^Object Clause^core^地球は平らであると|
687|I think we've got to examine this issue as soon as possible.|できるだけ早くこの問題を調査する必要があると思います。|I think^S+V^core^私は思う|we've got to examine^Clause (S+V)^core^我々は調査しなければならないと|this issue^Object^core^この問題を|as soon as possible.^Adverb^modifier^できるだけ早く
688|Don't delay the inevitable. You'll have to do it anyway.|避けられないことを先延ばしにしないで。どうせやらなきゃいけないんだから。|Don't delay^Imperative^core^遅らせるな|the inevitable.^Object^core^避けられないことを|You'll have to do it^S+V+O^core^あなたはそれをする必要があるだろう|anyway.^Adverb^modifier^とにかく（いずれにせよ）
689|I know I shouldn't pursue Tina, but I'm in love with her.|ティナを追いかけるべきじゃないと分かってるけど、彼女に恋してるんだ。|I know^S+V^core^私は知っている|I shouldn't pursue Tina,^Object Clause^core^ティナを追いかけるべきではないと|but^Conjunction^connector^しかし|I'm in love with her.^S+V+Prep^core^私は彼女に恋している
691|She made a spectacle of herself by screaming at the waiters.|彼女はウェイターに向かって叫んで、醜態をさらしました。|She made a spectacle of herself^S+V+O+Prep^core^彼女は自分自身の醜態をさらした|by screaming^Preposition^modifier^叫ぶことによって|at the waiters.^Preposition^modifier^ウェイターに向かって|
692|Tokyo attracts numerous tourists every year.|東京は毎年多数の観光客を惹きつけています。|Tokyo attracts^S+V^core^東京は惹きつける|numerous tourists^Object^core^多数の観光客を|every year.^Adverb^modifier^毎年|
694|I decided to move to New York because I wanted to work dynamically.|ダイナミックに働きたかったので、ニューヨークへの引っ越しを決めました。|I decided to move^S+V+Mod^core^私は引っ越すことを決めた|to New York^Preposition^modifier^ニューヨークへ|because^Conjunction^connector^なぜなら|I wanted to work dynamically.^S+V+Adv^core^私はダイナミックに働きたかったから
695|You shouldn't do electrical work yourself. It's too dangerous.|自分で電気工事をするべきではありません。危険すぎます。|You shouldn't do^S+V^core^あなたはするべきではない|electrical work yourself.^Object+Adv^core^電気工事を自分自身で|It's too dangerous.^S+V+C^core^それはあまりに危険だ|
696|He speaks very intelligently, but he's actually just all talk.|彼はとても知的に話しますが、実際は口先だけです。|He speaks very intelligently,^S+V+Adv^core^彼はとても知的に話す|but^Conjunction^connector^しかし|he's actually just all talk.^S+V+C^core^彼は実際ただの口だけだ|
697|The real acid test for our products is how well they sell.|我々の製品にとっての真の試金石（評価基準）は、どれだけ売れるかです。|The real acid test^Subject^core^真の試金石（テスト）は|for our products^Preposition^modifier^我々の製品にとっての|is^Verb^core^～だ|how well they sell.^Complement^core^それらがいかに良く売れるかだ
698|I wish they made ice cream that didn't melt. I eat too slowly.|溶けないアイスクリームがあればいいのに。食べるのが遅すぎるから。|I wish^S+V^core^私は願う|they made ice cream^Clause (S+V+O)^core^彼らがアイスクリームを作ってくれればと|that didn't melt.^Relative Clause^modifier^溶けない（アイスを）|I eat too slowly.^S+V+Adv^core^私は食べるのが遅すぎる
699|I was introduced to swimming when I was 2 years old.|私は2歳の時に水泳を始めさせられました（手ほどきを受けました）。|I was introduced^S+V^core^私は手ほどきを受けた（紹介された）|to swimming^Preposition^modifier^水泳に|when I was 2 years old.^Time Clause^modifier^私が2歳の時に|
700|Is hydrogen water actually better than regular water?|水素水は普通の水より本当に体に良いですか？|Is hydrogen water^Subject^core^水素水は|actually better^Adjective^core^本当により良いですか|than regular water?^Preposition^modifier^普通の水よりも|
701|My pet hamster died last week, so I dug a small grave for it.|先週ペットのハムスターが死んだので、小さなお墓を掘ってあげました。|My pet hamster died^Subject+Verb^core^ペットのハムスターが死んだ|last week,^Adverb^modifier^先週|so^Conjunction^connector^それで|I dug^Subject+Verb^core^私は掘った
702|The staff at this hotel is required to wear the approved uniform.|このホテルのスタッフは、指定の制服を着用することが義務付けられています。|The staff^Subject^core^スタッフは|at this hotel^Preposition^modifier^このホテルの|is required^Passive Verb^core^義務付けられている|to wear^Infinitive^modifier^着用することを
703|I really don't have the mental capacity to discuss it.|それについて話し合う精神的な余裕は本当にありません。|I really don't have^Subject+Verb^core^私は本当に持っていない|the mental capacity^Object^core^精神的な余裕を|to discuss it.^Infinitive^modifier^それを話し合うための|
704|Asking people whose name they wrote on their ballot is a big no no.|投票用紙に誰の名前を書いたか尋ねるのは、絶対にしてはいけないことです。|Asking people^Gerund/Subject^core^人々に尋ねることは|whose name they wrote^Noun Clause^core^誰の名前を書いたかを|on their ballot^Preposition^modifier^投票用紙に|is a big no no.^Verb+Complement^core^大きなタブーです
705|I went to the seminar for the purpose of finding a new job.|新しい仕事を見つけるためにセミナーに行きました。|I went^Subject+Verb^core^私は行った|to the seminar^Preposition^modifier^セミナーへ|for the purpose^Preposition^modifier^目的のために|of finding a new job.^Preposition^modifier^新しい仕事を見つけるという
706|He loses control at the slightest provocation.|彼は些細な挑発ですぐに自制心を失います。|He loses control^S+V+O^core^彼は自制心を失う|at the slightest provocation.^Preposition^modifier^些細な挑発で||
707|You'll never find somebody more committed to the team than me.|私ほどチームに尽くしている人は他に見つからないでしょう。|You'll never find^S+V^core^あなたは決して見つけられないだろう|somebody^Object^core^誰かを|more committed^Adjective^modifier^より献身的な|to the team^Preposition^modifier^チームに対して
708|The US has tax treaties with a number of countries.|米国は多くの国と租税条約を結んでいます。|The US has^S+V^core^米国は持っている|tax treaties^Object^core^租税条約を|with a number of countries.^Preposition^modifier^多くの国々と|
709|This apple is roughly equal in size to this orange.|このリンゴは、このオレンジとおおよそ同じ大きさです。|This apple is^S+V^core^このリンゴは～です|roughly equal^Adjective^core^おおよそ等しい|in size^Preposition^modifier^大きさにおいて|to this orange.^Preposition^modifier^このオレンジと
710|Isn't it amazing that we can get live transmissions from Mars?|火星から生中継が届くなんてすごくないですか？|Isn't it amazing^S+V+C^core^すごくないですか|that we can get^Noun Clause^core^私たちが得られるということは|live transmissions^Object^core^生中継を|from Mars?^Preposition^modifier^火星から
711|Do you think the vice president will succeed the current president?|副大統領が現大統領の後を継ぐと思いますか？|Do you think^S+V^core^あなたは思いますか|the vice president will succeed^Noun Clause(S+V)^core^副大統領が後を継ぐと|the current president?^Object^core^現在の大統領の|
712|You need to be innovative if you want to stand out on social media.|ソーシャルメディアで目立ちたいなら、革新的である必要があります。|You need to be innovative^S+V+C^core^あなたは革新的である必要がある|if you want to stand out^Conjunction+Clause^connector^もし目立ちたいなら|on social media.^Preposition^modifier^ソーシャルメディアで|
713|Surely you're not going to prison for stealing a chocolate bar.|チョコバーを盗んだくらいで刑務所行きにはならないでしょう。|Surely^Adverb^modifier^まさか|you're not going^S+V^core^あなたは行くつもりじゃないですよね|to prison^Preposition^modifier^刑務所に|for stealing^Preposition^modifier^盗んだことで
714|The capital of Canada is Ottawa, not Toronto.|カナダの首都はトロントではなくオタワです。|The capital of Canada^Subject^core^カナダの首都は|is Ottawa,^Verb+Comp^core^オタワです|not Toronto.^Phrase^modifier^トロントではなく|
715|Lack of communication is often the cause of misunderstanding.|コミュニケーション不足は、しばしば誤解の原因となります。|Lack of communication^Subject^core^コミュニケーション不足は|is often^Verb+Adverb^core^しばしば～である|the cause^Complement^core^原因|of misunderstanding.^Preposition^modifier^誤解の
716|Just give it a shot. What's the worst that could happen?|とにかくやってみなよ。最悪何が起こるっていうの？|Just give it a shot.^Idiom/Imperative^core^とにかくやってみて|What's the worst^S+V+C^core^最悪の事態は何？|that could happen?^Relative Clause^modifier^起こりうる|
717|Please disregard that last message that I sent you.|私が送った最後のメッセージは無視してください。|Please disregard^Imperative^core^無視してください|that last message^Object^core^その最後のメッセージを|that I sent you.^Relative Clause^modifier^私があなたに送った|
718|The diamond ring in the window is outrageously expensive.|ショーウィンドウのダイヤモンドの指輪は、法外に高いです。|The diamond ring^Subject^core^ダイヤモンドの指輪は|in the window^Preposition^modifier^ショーウィンドウの中の|is outrageously expensive.^S+V+C^core^法外に高い|
719|Working out is tough, but it gets easier once you make it a habit.|筋トレはきついですが、一度習慣にすれば楽になります。|Working out is tough,^S+V+C^core^筋トレはきつい|but^Conjunction^connector^しかし|it gets easier^S+V+C^core^それはより簡単になる|once you make it a habit.^Adverb Clause^connector^一度習慣にしてしまえば
720|I'm always so impressed by people who speak more than one language.|複数の言語を話す人には、いつも本当に感心させられます。|I'm always so impressed^S+V+C^core^私はいつもとても感心する|by people^Preposition^modifier^人々に|who speak^Relative Clause^modifier^話す（人々）|more than one language.^Object^core^複数の言語を
721|All my contact info just disappeared. What a nightmare.|連絡先が全部消えちゃった。なんて悪夢だ。|All my contact info^Subject^core^全ての連絡先情報が|just disappeared.^Verb^core^たった今消えた|What a nightmare.^Exclamation^core^なんて悪夢だ|
722|It's customary for Americans to shake hands when they meet someone.|アメリカ人にとって、誰かと会った時に握手をするのは慣習です。|It's customary^S+V+C^core^慣習です|for Americans^Preposition^modifier^アメリカ人にとって|to shake hands^Infinitive^core^握手をすることは|when they meet someone.^Adverb Clause^modifier^誰かと会う時に
723|This is undoubtedly the best bubble tea I've ever had.|これは間違いなく私が今まで飲んだ中で最高のタピオカティーです。|This is undoubtedly^S+V+Adv^core^これは間違いなく～だ|the best bubble tea^Complement^core^最高のタピオカティー|I've ever had.^Relative Clause^modifier^私が今まで飲んだ中で|
724|The pizza delivery driver forgot my drinks again.|ピザの配達員がまた私の飲み物を忘れました。|The pizza delivery driver^Subject^core^ピザの配達員は|forgot^Verb^core^忘れた|my drinks^Object^core^私の飲み物を|again.^Adverb^modifier^また
725|What types of identification should I bring to renew my membership?|会員資格の更新には、どんな種類の身分証を持っていくべきですか？|What types of identification^Object^core^どんな種類の身分証を|should I bring^S+V^core^私は持っていくべきですか|to renew my membership?^Infinitive^modifier^会員資格を更新するために|
726|Thankfully, the girl I have a crush on hasn't been taken yet.|ありがたいことに、私が片思いしているあの子にはまだ彼氏がいません。|Thankfully,^Adverb^modifier^ありがたいことに|the girl I have a crush on^Subject+Clause^core^私が片思いしている女の子は|hasn't been taken yet.^Passive Verb^core^まだ取られていない（彼氏がいない）|
727|It's really interesting to see how the coach interacts with his team.|コーチがチームとどう接しているかを見るのは本当に興味深いです。|It's really interesting^S+V+C^core^本当に面白い|to see^Infinitive^core^見ることは|how the coach interacts^Noun Clause^core^コーチがどう接するかを|with his team.^Preposition^modifier^彼のチームと
728|I'm only nervous around Noah because I really like him.|ノアの近くで緊張してしまうのは、彼が本当に好きだからです。|I'm only nervous^S+V+C^core^私は単に緊張している|around Noah^Preposition^modifier^ノアの近くで|because^Conjunction^connector^なぜなら|I really like him.^S+V+O^core^私が彼を本当に好きだから
729|It's not easy to find a cure for spinal cord injuries.|脊髄損傷の治療法を見つけるのは簡単ではありません。|It's not easy^S+V+C^core^簡単ではない|to find a cure^Infinitive^core^治療法を見つけることは|for spinal cord injuries.^Preposition^modifier^脊髄損傷のための|
730|This term deposit interest is compounded annually.|この定期預金の利息は年複利で計算されます。|This term deposit interest^Subject^core^この定期預金の利息は|is compounded^Passive Verb^core^複利計算される|annually.^Adverb^modifier^1年ごとに|
731|Why do you always generalize about people from other cultures?|なぜいつも異文化の人々をひと括りにして一般化するのですか？|Why do you always generalize^S+V^core^なぜいつも一般化するのか|about people^Preposition^modifier^人々について|from other cultures?^Preposition^modifier^他の文化圏の|
732|Two fifths of something. Two fists of somebody.|何かの5分の2。誰かの2つの拳。（発音練習）|Two fifths^Noun^core^5分の2|of something.^Preposition^modifier^何かの|Two fists^Noun^core^2つの拳|of somebody.^Preposition^modifier^誰かの
733|I have a luxury watch, but I only wear it on special occasions.|高級時計を持っていますが、特別な機会にしかつけません。|I have a luxury watch,^S+V+O^core^私は高級時計を持っている|but^Conjunction^connector^しかし|I only wear it^S+V+O^core^私はそれをつけるだけだ|on special occasions.^Preposition^modifier^特別な機会に
734|Our group went on an expedition to Mexico for our research.|私たちのグループは調査のためにメキシコへ遠征に行きました。|Our group went^S+V^core^私たちのグループは行った|on an expedition^Preposition^modifier^遠征に|to Mexico^Preposition^modifier^メキシコへ|for our research.^Preposition^modifier^調査のために
735|I can't concentrate on my studies in a noisy environment.|騒がしい環境では勉強に集中できません。|I can't concentrate^S+V^core^私は集中できない|on my studies^Preposition^modifier^勉強に|in a noisy environment.^Preposition^modifier^騒がしい環境で|
736|I've decided to try yoga to refine my posture.|姿勢を良くするために、ヨガをやってみることにしました。|I've decided^S+V^core^私は決心した|to try yoga^Infinitive^core^ヨガを試すことを|to refine my posture.^Infinitive^modifier^姿勢を改善するために|
737|My trip to Japan cost about $4,000 in total.|日本旅行は合計で約4000ドルかかりました。|My trip to Japan^Subject^core^私の日本への旅行は|cost^Verb^core^費用がかかった|about $4,000^Object^core^約4000ドル|in total.^Phrase^modifier^合計で
738|It was mere seconds away from breaking the marathon record.|マラソンの記録更新まで、ほんの数秒でした。|It was^S+V^core^それは～だった|mere seconds away^Complement^core^ほんの数秒の差|from breaking^Preposition^modifier^破ることから|the marathon record.^Object^core^マラソンの記録を
739|I've been making an effort to realize my dream of being a singer.|歌手になるという夢を叶えるために、ずっと努力しています。|I've been making an effort^S+V+O^core^私は努力し続けている|to realize my dream^Infinitive^modifier^夢を実現するために|of being a singer.^Preposition^modifier^歌手になるという|
740|My wife is really domesticated. She helps with a lot of the chores.|妻はとても家庭的です。家事をたくさん手伝ってくれます。|My wife is^S+V^core^私の妻は～だ|really domesticated.^Adjective^core^本当に家庭的だ|She helps^S+V^core^彼女は手伝う|with a lot of the chores.^Preposition^modifier^多くの家事を
741|I added Luke to the team to bring some creativity to this project.|このプロジェクトに創造性をもたらすために、ルークをチームに加えました。|I added Luke^S+V+O^core^私はルークを加えた|to the team^Preposition^modifier^チームに|to bring some creativity^Infinitive^modifier^創造性をもたらすために|to this project.^Preposition^modifier^このプロジェクトに
742|Discrimination based on gender is against the law.|性別に基づく差別は法律違反です。|Discrimination^Subject^core^差別は|based on gender^Phrase^modifier^性別に基づく|is against the law.^Verb+Comp^core^法律に違反している|
743|Everyone will die eventually. So what's the meaning of life?|人は誰でもいつか死にます。では、人生の意味とは何でしょうか？|Everyone will die eventually.^S+V+Adv^core^誰もがいずれ死ぬ|So^Conjunction^connector^だから|what's the meaning^S+V+C^core^意味は何ですか|of life?^Preposition^modifier^人生の
744|Trust your instincts. If it doesn't seem right, don't do it.|自分の直感を信じなさい。違和感があるなら、やるべきではありません。|Trust your instincts.^Imperative^core^直感を信じろ|If it doesn't seem right,^Clause^connector^もし正しく思えないなら|don't do it.^Imperative^core^それをするな|
745|I didn't dump her. It was the other way around.|私が彼女を振ったんじゃない。その逆だよ。|I didn't dump her.^S+V+O^core^私は彼女を振っていない|It was^S+V^core^それは～だった|the other way around.^Adverb/Comp^core^あべこべ（逆）|
746|It just occurred to me that I should study English for my future.|将来のために英語を勉強すべきだと、ふと思い浮かびました。|It just occurred to me^Idiom(S+V)^core^ふと思い浮かんだ|that I should study English^Noun Clause^core^英語を勉強すべきだと|for my future.^Preposition^modifier^将来のために|
747|I find that Apple commercials are always impactful and punchy.|AppleのCMはいつもインパクトがあってパンチが効いていると思います。|I find^S+V^core^私は思う（気づく）|that Apple commercials are^Noun Clause(S+V)^core^AppleのCMは～だと|always impactful and punchy.^Adjective^core^いつもインパクトがあってパンチが効いている|
748|Scott is a strong man, but he'll never resort to violence.|スコットは強い男ですが、決して暴力には訴えません。|Scott is a strong man,^S+V+C^core^スコットは強い男だ|but^Conjunction^connector^しかし|he'll never resort^S+V^core^彼は決して訴えない（頼らない）だろう|to violence.^Preposition^modifier^暴力に
749|What kind of core skills do you need to become an astronaut?|宇宙飛行士になるには、どのような中心的なスキルが必要ですか？|What kind of core skills^Object^core^どんな種類のコアスキルを|do you need^S+V^core^あなたは必要としますか|to become an astronaut?^Infinitive^modifier^宇宙飛行士になるために|
750|Sorry, I won't be able to increase your wages this year.|申し訳ありませんが、今年は賃上げすることはできません。|Sorry,^Interjection^modifier^申し訳ない|I won't be able^S+V+Adj^core^私はできないだろう|to increase your wages^Infinitive^core^あなたの賃金を上げることを|this year.^Adverb^modifier^今年は
751|George is way too persistent with his personal questions.|ジョージは個人的な質問をしつこくしすぎます。|George is^S+V^core^ジョージは～だ|way too persistent^Adjective^core^あまりにもしつこすぎる|with his personal questions.^Preposition^modifier^個人的な質問において|
752|I don't care how you do it as long as you achieve the right outcome.|正しい結果が得られるなら、やり方は気にしません。|I don't care^S+V^core^私は気にしない|how you do it^Noun Clause^core^あなたがどうやるかを|as long as^Conjunction^connector^～である限り|you achieve the right outcome.^S+V+O^core^あなたが正しい結果を達成する
753|I think we live in pretty interesting times.|私たちはかなり興味深い時代に生きていると思います。|I think^S+V^core^私は思う|we live^S+V^core^私たちは生きていると|in pretty interesting times.^Preposition^modifier^かなり興味深い時代に|
754|Of course, the lawyer is going to proclaim her client's innocence.|もちろん、弁護士は依頼人の無実を主張するでしょう。|Of course,^Adverb^modifier^もちろん|the lawyer is going to proclaim^S+V^core^弁護士は主張するつもりだ|her client's innocence.^Object^core^彼女の依頼人の無実を|
755|I want to leave this company get together as soon as possible.|この会社の親睦会からできるだけ早く抜け出したいです。|I want to leave^S+V+O^core^私は去りたい（抜け出したい）|this company get together^Object^core^この会社の親睦会を|as soon as possible.^Adverb^modifier^できるだけ早く|
756|His knowledge of the TV industry is incredibly vast.|テレビ業界に関する彼の知識は信じられないほど広いです。|His knowledge^Subject^core^彼の知識は|of the TV industry^Preposition^modifier^テレビ業界の|is incredibly vast.^S+V+C^core^信じられないほど広い|
757|He's smart and intelligent, but sometimes he's a bit manipulative.|彼は賢くて知的ですが、時々少し人を操ろうとします。|He's smart and intelligent,^S+V+C^core^彼は賢くて知的だ|but^Conjunction^connector^しかし|sometimes^Adverb^modifier^時々|he's a bit manipulative.^S+V+C^core^彼は少し操作的だ（人を操ろうとする）
758|I often confuse software engineering with computer science.|私はよくソフトウェア工学とコンピュータサイエンスを混同します。|I often confuse^S+V^core^私はよく混同する|software engineering^Object^core^ソフトウェア工学を|with computer science.^Preposition^modifier^コンピュータサイエンスと|
759|I freaked out when I found my friend lurking under my bed.|友人がベッドの下に潜んでいるのを見つけて、パニックになりました。|I freaked out^S+V^core^私はパニックになった|when I found my friend^Adverb Clause^connector^友達を見つけた時に|lurking under my bed.^Participle Phrase^modifier^ベッドの下に潜んでいるのを|
760|Did you get a new computer? I'm so jealous.|新しいパソコンを買ったの？すごく羨ましい。|Did you get^S+V^core^手に入れたの？|a new computer?^Object^core^新しいコンピュータを|I'm so jealous.^S+V+C^core^私はとても嫉妬している（羨ましい）|
761|I don't think we should do it, but that's just my personal opinion.|やるべきではないと思いますが、それはあくまで私の個人的な意見です。|I don't think^S+V^core^私は思わない|we should do it,^Noun Clause^core^私たちがそれをすべきだと|but^Conjunction^connector^しかし|that's just my personal opinion.^S+V+C^core^それは単に私の個人的な意見だ
762|Sorry, it always takes me forever to make a decision.|すみません、決めるのにいつもすごく時間がかかってしまうんです。|Sorry,^Interjection^modifier^ごめん|it always takes me forever^S+V+O+C (Idiom)^core^いつも永遠に時間がかかる|to make a decision.^Infinitive^modifier^決断をするのに|
763|Prior to studying here, I spent a couple of years traveling around Asia.|ここで勉強する前は、数年間アジアを旅していました。|Prior to studying here,^Preposition^modifier^ここで勉強するより前に|I spent a couple of years^S+V+O^core^私は数年を過ごした|traveling around Asia.^Gerund^modifier^アジアを旅して|
764|There's no margin for error here, so I have to make sure it's a good shot.|ここではミスの許容範囲がないので、確実に良いショットを打たなければなりません。|There's no margin^S+V+S^core^余地（余裕）がない|for error here,^Preposition^modifier^ここでのミスに対する|so^Conjunction^connector^だから|I have to make sure it's a good shot.^S+V+Clause^core^それが良いショットであることを確実にしなければならない
765|Since you could speak English, I think you have the edge in this company.|あなたは英語が話せるので、この会社では有利だと思います。|Since you could speak English,^Conjunction^connector^英語が話せたので（話せるので）|I think^S+V^core^私は思う|you have the edge^S+V+O^core^あなたには強み（有利さ）がある|in this company.^Preposition^modifier^この会社で
766|I can't believe my pay raise was less than inflation.|昇給がインフレ率より低いなんて信じられません。|I can't believe^S+V^core^私は信じられない|my pay raise was^Noun Clause (S+V)^core^私の昇給が～だったことを|less than inflation.^Adjective/Comp^core^インフレよりも少ない|
767|I hate how Tom violates my personal space all the time.|トムがいつも私のパーソナルスペースを侵害してくるのが嫌です。|I hate^S+V^core^私は大嫌いだ|how Tom violates^Noun Clause^core^トムが侵害してくる様子を|my personal space^Object^core^私のパーソナルスペースを|all the time.^Adverb^modifier^いつも（四六時中）
768|After hours of investigation, he was proven innocent.|何時間もの調査の結果、彼の無実が証明されました。|After hours of investigation,^Preposition^modifier^数時間の調査の後|he was proven innocent.^S+V+C^core^彼は無実だと証明された||
769|My sister rescued an injured dog and nursed it back to health.|姉は怪我をした犬を助け、看病して元気にしました。|My sister rescued^S+V^core^私の姉は救助した|an injured dog^Object^core^怪我をした犬を|and nursed it^Verb+Object^core^そしてそれを看病した|back to health.^Preposition^modifier^健康な状態に戻るまで
770|Sometimes I can't distinguish between dreams and reality.|時々、夢と現実の区別がつかなくなります。|Sometimes^Adverb^modifier^時々|I can't distinguish^S+V^core^私は区別できない|between dreams and reality.^Preposition^modifier^夢と現実の間を|
771|Can you get Ryan to analyze these stock market patterns for me?|ライアンにこの株式市場のパターンを分析してもらえますか？|Can you get Ryan^S+V+O^core^ライアンに～させられますか|to analyze^Infinitive^core^分析するように|these stock market patterns^Object^core^これらの株式市場のパターンを|for me?^Preposition^modifier^私のために
772|He owns the largest distributor of sports equipment in Asia.|彼はアジア最大のスポーツ用品販売会社を所有しています。|He owns^S+V^core^彼は所有している|the largest distributor^Object^core^最大の販売業者を|of sports equipment^Preposition^modifier^スポーツ用品の|in Asia.^Preposition^modifier^アジアで
773|Japan is often referred to as a smoker's paradise.|日本はよく喫煙者の天国だと言われます。|Japan is often referred to^S+V^core^日本はしばしば言及される（呼ばれる）|as a smoker's paradise.^Preposition^core^喫煙者の天国として||
774|Surfing in Hawaii was such a tremendous experience.|ハワイでのサーフィンは本当に素晴らしい体験でした。|Surfing in Hawaii^Subject^core^ハワイでのサーフィンは|was such^S+V^core^～のようなものだった|a tremendous experience.^Complement^core^すさまじい（素晴らしい）経験|
775|You can't draw a conclusion without listening to everyone's opinion.|みんなの意見を聞かずに結論を出すことはできません。|You can't draw a conclusion^S+V+O^core^あなたは結論を導き出せない|without listening^Preposition^modifier^聞くことなしに|to everyone's opinion.^Preposition^modifier^みんなの意見を|
776|I love how these Bluetooth headphones connect without delay.|このBluetoothヘッドフォン、遅延なくつながるところが気に入っています。|I love^S+V^core^私は大好きだ|how these Bluetooth headphones connect^Noun Clause^core^このBluetoothヘッドホンが接続する様子が|without delay.^Preposition^modifier^遅延なしに|
777|Learning foreign languages is very hard but really rewarding.|外国語を学ぶのはとても大変ですが、本当にやりがいがあります。|Learning foreign languages^Subject^core^外国語を学ぶことは|is very hard^S+V+C^core^とても難しい|but really rewarding.^Conjunction+Adj^core^しかし本当に報われる（やりがいがある）|
778|I think it'd be safer to declare these snacks at customs.|このお菓子は税関で申告しておいた方が無難だと思います。|I think it'd be safer^S+V+C^core^より安全だと思う|to declare these snacks^Infinitive^core^これらのお菓子を申告することが|at customs.^Preposition^modifier^税関で|
779|Social media is full of information that isn't factual.|ソーシャルメディアは事実ではない情報で溢れています。|Social media is^S+V^core^ソーシャルメディアは～だ|full of information^Adjective^core^情報でいっぱいだ|that isn't factual.^Relative Clause^modifier^事実ではない|
780|Do you know if this speaker is compatible with my phone?|このスピーカーが私の携帯に対応しているか分かりますか？|Do you know^S+V^core^知っていますか|if this speaker is compatible^Noun Clause^core^このスピーカーが互換性があるかどうか|with my phone?^Preposition^modifier^私の電話と|
781|The electricity was out for quite a while after the huge thunderstorm.|激しい雷雨の後、しばらく停電していました。|The electricity was out^S+V+C^core^電気は消えていた（停電していた）|for quite a while^Adverb^modifier^かなりの間|after the huge thunderstorm.^Preposition^modifier^巨大な雷雨の後|
