ID|タイムスタンプ|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4|チャンク5|チャンク6
60|00:07:00.814|NPR's Scott Horsley jumped into action to cover this story. Scott, good morning. Good morning, Steve. What was the dissent?|NPRのスコット・ホースリーがこのニュースを取材するために飛び込んできました。スコット、おはよう。おはよう、スティーブ。反対意見とは何だったのですか？|NPR's Scott Horsley jumped into action^S+V+Prep^core^NPRのスコット・ホースリーが行動を開始しました|to cover this story^Infinitive^modifier^この話をカバーするために|Scott, good morning^Greeting^connector^スコット、おはよう|Good morning, Steve^Greeting^connector^おはよう、スティーブ|What was the dissent?^Wh-Question^core^反対意見は何でしたか？|
61|00:07:07.725|Well, there were three dissents from the Fed's vote to cut rates by a quarter point. Two of those dissenters wanted to hold rates steady, and a third wanted to cut rates even more.|ええ、0.25%の利下げに対するFRBの投票では3人の反対がありました。反対者のうち2人は金利据え置きを望み、3人目はさらなる大幅な利下げを望んでいました。|Well, there were three dissents^Connector+There+V+S^core^ええ、3つの反対がありました|from the Fed's vote^Prep Phrase^modifier^FRBの投票に対して|to cut rates by a quarter point^Infinitive Phrase^modifier^金利を0.25ポイント下げるという|Two of those dissenters wanted to hold rates steady^S+V+O+C^core^それらの反対者のうち2人は金利を据え置きたかった|and a third wanted to cut rates even more^Conjunction+S+V+O^connector^そして3人目はさらに金利を下げたかった||
62|00:07:17.685|You know, the Fed is kind of in a tough spot here. Cutting rates is designed to help the job market, which has shown signs of weakness in recent months, but inflation is still higher than the central bank would like.|ご存知のように、FRBは今ちょっと難しい立場にあります。利下げは、ここ数ヶ月弱さの兆候が見られる雇用市場を助けるためのものですが、インフレ率は依然として中央銀行が望むよりも高い水準にあります。|You know, the Fed is^S+V^core^ご存知のように、FRBはいます|kind of in a tough spot here^Prep Phrase^modifier^ここで一種の困難な場所に|Cutting rates is designed to help the job market^Gerund+V+Infinitive^core^金利を下げることは雇用市場を助けるよう設計されています|which has shown signs of weakness^Relative Clause^connector^（雇用市場は）弱さの兆候を見せています|in recent months^Prep Phrase^modifier^ここ数ヶ月|but inflation is still higher^Conjunction+S+V+C^connector^しかしインフレはまだ高いです（望むよりも）
63|00:07:28.512|Fed Chairman Jerome Powell says all of his colleagues want maximum employment and stable prices, but they have differing views on which is the more urgent challenge right now.|FRBのジェローム・パウエル議長は、同僚全員が雇用の最大化と物価の安定を望んでいるが、どちらが現在より緊急の課題であるかについては見解が異なると述べています。|Fed Chairman Jerome Powell says^S+V^core^FRB議長ジェローム・パウエルは言います|all of his colleagues want^S+V^core^彼の同僚全員が望んでいると|maximum employment and stable prices^Object^core^雇用の最大化と安定した物価を|but they have differing views^Conjunction+S+V+O^connector^しかし彼らは異なる見解を持っています|on which is the more urgent challenge^Prep Phrase^modifier^どちらがより緊急の課題であるかについて|right now^Time Adverb^modifier^今まさに
64|00:07:38.137|All across the committee, people see the picture pretty similarly, but see the risks quite differently.|委員会全体で、人々は状況をかなり似たように見ていますが、リスクについては全く異なった見方をしています。|All across the committee^Prep Phrase^modifier^委員会全体にわたって|people see the picture pretty similarly^S+V+O+Adverb^core^人々は状況（絵）をかなり似たように見ています|but see the risks quite differently^Conjunction+V+O+Adverb^connector^しかしリスクを全く異なって見ています|||
65|00:07:44.079|You know, when unemployment soared during the pandemic, it was pretty obvious the Fed wanted really low interest rates.|パンデミック中に失業率が急上昇した時、FRBが本当に低い金利を望んでいるのは明らかでしたよね。|You know^Filler^connector^あのね|when unemployment soared^Conjunction+S+V^connector^失業率が急上昇した時|during the pandemic^Prep Phrase^modifier^パンデミックの間に|it was pretty obvious^S+V+C^core^それはかなり明白でした|the Fed wanted really low interest rates^S+V+O^core^FRBが本当に低い金利を望んでいたことは||
66|00:07:50.048|And when inflation soared back in 2022, it was pretty obvious that interest rates needed to be higher.|そして2022年にインフレが急上昇した時、金利を高くする必要があることはかなり明白でした。|And when inflation soared^Conjunction+S+V^connector^そしてインフレが急上昇した時|back in 2022^Time Adverb^modifier^2022年に遡って|it was pretty obvious^S+V+C^core^それはかなり明白でした|that interest rates needed to be higher^Noun Clause^core^金利がより高くなる必要があったことは|||
67|00:07:54.838|Today, it's more nuanced and the right course of action is not so obvious. And that's reflected in yesterday's split vote. In the end, a solid majority did vote to cut interest rates one more time.|今日では状況はより微妙で、正しい行動方針はそれほど明白ではありません。そしてそれが昨日の票の割れに反映されています。最終的には、堅実な過半数がもう一度利下げすることに投票しました。|Today, it's more nuanced^Adverb+S+V+C^core^今日、それはより微妙（複雑）です|and the right course of action is not so obvious^Conjunction+S+V+C^connector^そして正しい行動方針はそれほど明白ではありません|And that's reflected^Conjunction+S+V^connector^そしてそれは反映されています|in yesterday's split vote^Prep Phrase^modifier^昨日の割れた投票に|In the end^Adverb^modifier^最終的に|a solid majority did vote to cut interest rates^S+V+Infinitive^core^堅実な過半数が金利を下げることに投票しました
68|00:08:05.487|Are they going to cut interest rates yet again? Well, probably not right away. Fed policymakers offered some updated forecast of where they think rates are headed.|彼らはまた利下げをするのでしょうか？まあ、おそらくすぐにはないでしょう。FRBの政策立案者は、金利がどこへ向かうと考えているかについて、更新された予測をいくつか提示しました。|Are they going to cut interest rates yet again?^Aux+S+V+O^core^彼らはまたしても金利を下げるのでしょうか？|Well, probably not right away^Expression^connector^まあ、恐らくすぐにはないでしょう|Fed policymakers offered some updated forecast^S+V+O^core^FRB政策立案者は更新された予測を提示しました|of where they think rates are headed^Prep Phrase^modifier^彼らが金利がどこに向かうと思っているかについての||
69|00:08:15.173|And on average, they only expect to cut rates once more in 2026. Now, those forecasts are just a guess. They're not a roadmap.|そして平均して、彼らは2026年にもう一度だけ利下げを行うと予想しています。ただ、これらの予測は単なる推測に過ぎません。ロードマップではないのです。|And on average^Conjunction+Prep^connector^そして平均して|they only expect to cut rates once more^S+V+Infinitive^core^彼らはあと一度だけ利下げを予想しています|in 2026^Prep Phrase^modifier^2026年に|Now, those forecasts are just a guess^S+V+C^core^さて、それらの予測は単なる推測です|They're not a roadmap^S+V+C^core^それらはロードマップではありません|
70|00:08:23.432|But Powell says he and his colleagues are going to be pretty cautious about lowering rates anymore.|しかしパウエル議長は、彼と彼の同僚たちはこれ以上の利下げについてかなり慎重になるだろうと述べています。|But Powell says^Conjunction+S+V^connector^しかしパウエルは言います|he and his colleagues are going to be pretty cautious^S+V+C^core^彼と彼の同僚はかなり慎重になるだろうと|about lowering rates anymore^Prep Phrase^modifier^これ以上金利を下げることについて|||
71|00:08:28.509|We haven't made any decision about January, but as I've said, We think we're well positioned to wait and see how the economy performs.|1月については何も決定していませんが、申し上げたように、経済がどう動くか様子を見るのに良い位置にいると考えています。|We haven't made any decision^S+V+O^core^私たちは何も決定していません|about January^Prep Phrase^modifier^1月について|but as I've said^Conjunction+S+V^connector^しかし私が言ったように|We think we're well positioned^S+V+C^core^私たちは良い位置にいると考えています|to wait and see^Infinitive^modifier^様子を見るために|how the economy performs^Noun Clause^core^経済がどう動くかを
72|00:08:35.870|We are going to get a whole lot more information about both inflation and unemployment before the next Fed meeting in January.|1月の次のFRB会合までに、インフレと失業の両方について、さらに多くの情報を得ることになります。|We are going to get^S+V^core^私たちは得ることになるでしょう|a whole lot more information^Object^core^はるかに多くの情報を|about both inflation and unemployment^Prep Phrase^modifier^インフレと失業の両方について|before the next Fed meeting in January^Prep Phrase^modifier^1月の次のFRB会合の前に||
73|00:08:42.799|And that's something we have been really starved for in the last couple of months. Because of the government shutdown, we never got those numbers for October.|そしてそれは、ここ数ヶ月私たちが本当に渇望していたものです。政府機関の閉鎖により、10月の数字は全く得られませんでしたから。|And that's something^S+V+C^core^そしてそれは（～な）何かです|we have been really starved for^Relative Clause^connector^私たちが本当に飢えていた（待ち望んでいた）|in the last couple of months^Prep Phrase^modifier^ここ数ヶ月の間|Because of the government shutdown^Prep Phrase^connector^政府機関の閉鎖のために|we never got those numbers for October^S+V+O^core^私たちは10月のそれらの数字を決して得られませんでした|
74|00:08:50.736|And the November numbers have been delayed until next week. So the next time Powell and his colleagues gather, we may have a clearer picture of which way the economy is headed.|そして11月の数字は来週まで遅れています。ですから、次回パウエル氏らが集まる時には、経済がどちらの方向に向かっているのか、より明確な全体像がつかめているかもしれません。|And the November numbers have been delayed^S+V^core^そして11月の数字は遅れています|until next week^Prep Phrase^modifier^来週まで|So the next time Powell and his colleagues gather^Conjunction+S+V^connector^だから次回パウエルらが集まる時|we may have a clearer picture^S+V+O^core^私たちはより明確な全体像を持つかもしれません|of which way the economy is headed^Prep Phrase^modifier^経済がどちらの方向に向かっているかの|
75|00:08:58.756|Scott, I want to ask about the bigger picture here, because over the last several years, we've had this problem with inflation. It still hasn't gone away.|スコット、ここ数年、私たちはインフレの問題を抱えてきたので、ここでのより大きな全体像について聞きたいのですが。それはまだなくなっていません。|Scott, I want to ask^S+V+Infinitive^core^スコット、私は尋ねたい|about the bigger picture here^Prep Phrase^modifier^ここでのより大きな全体像について|because over the last several years^Conjunction+Prep^connector^なぜならここ数年にわたって|we've had this problem with inflation^S+V+O^core^私たちはインフレの問題を抱えてきました|It still hasn't gone away^S+V^core^それはまだ消え去っていません|
76|00:09:07.125|People are concerned about the cost of living because their purchasing power effectively has gone down 20, 25% over the last several years.|ここ数年で購買力が実質的に20～25％低下しているため、人々は生活費について懸念しています。|People are concerned^S+V^core^人々は心配しています|about the cost of living^Prep Phrase^modifier^生活費について|because their purchasing power effectively has gone down^Conjunction+S+V^connector^なぜなら彼らの購買力が実質的に下がったからです|20, 25%^Noun^modifier^20、25パーセント|over the last several years^Prep Phrase^modifier^ここ数年にわたって|
77|00:09:15.157|Isn't the Fed concerned that lowering interest rates will bring inflation back up again?|FRBは、利下げによってインフレが再び上昇することを懸念していないのでしょうか？|Isn't the Fed concerned^Aux+S+V^core^FRBは心配していないのですか？|that lowering interest rates will bring inflation back up again?^Noun Clause^core^利下げがインフレを再び引き起こすことを||||
78|00:09:20.625|Powell was asked why he and his colleagues seem to be focused on the job market right now when there's so much concern about high prices.|高物価への懸念がこれほど強い中、なぜ彼と彼の同僚たちは今、雇用市場に焦点を当てているように見えるのか、パウエル氏は質問されました。|Powell was asked^S+V^core^パウエルは尋ねられました|why he and his colleagues seem to be focused^Noun Clause^core^なぜ彼と彼の同僚が集中しているように見えるのか|on the job market right now^Prep Phrase^modifier^今、雇用市場に|when there's so much concern^Conjunction+There+V+S^connector^これほど多くの懸念がある時に|about high prices^Prep Phrase^modifier^高物価について|
79|00:09:27.096|Even though inflation has come down a lot, it is still above the Fed's 2% target.|インフレ率は大幅に低下しましたが、依然としてFRBの目標である2%を上回っています。|Even though inflation has come down a lot^Conjunction+S+V^connector^インフレが大幅に下がったにも関わらず|it is still above^S+V+Prep^core^それはまだ上にあります|the Fed's 2% target^Object^core^FRBの2%目標（の）||||
80|00:09:32.062|And part of that's because the president's tariffs are pushing up the price of imported goods.|その理由の一部は、大統領の関税が輸入品の価格を押し上げているためです。|And part of that's^S+V+C^core^そしてその一部は～です|because the president's tariffs are pushing up^Conjunction+S+V^connector^なぜなら大統領の関税が押し上げているからです|the price of imported goods^Object^core^輸入品の価格を|||
81|00:09:36.386|Now, Fed officials generally don't think tariffs are going to have a long-lasting effect on inflation, but they've been burned before, so Powell says they're not taking any chances.|FRB当局者は一般的に、関税がインフレに長期的な影響を与えるとは考えていませんが、以前痛い目にあっているため、パウエル氏はリスクを冒すつもりはないと述べています。|Now, Fed officials generally don't think^S+V^core^さて、FRB当局者は一般的に考えていません|tariffs are going to have a long-lasting effect^Noun Clause^core^関税が長期的な影響を持つだろうと|on inflation^Prep Phrase^modifier^インフレに対して|but they've been burned before^Conjunction+S+V^connector^しかし彼らは以前火傷した（痛い目を見た）ことがあります|so Powell says they're not taking any chances^Conjunction+S+V+O^core^だからパウエルは彼らは危険を冒さないと言っています|
82|00:09:45.317|We hear loud and clear how people are experiencing costs. It's really high costs.|人々がどのようにコストを感じているか、はっきりと聞いています。本当に高いコストです。|We hear loud and clear^S+V+Adverb^core^私たちははっきりと聞いています|how people are experiencing costs^Noun Clause^core^人々がどのようにコストを経験しているか|It's really high costs^S+V+C^core^それは本当に高いコストです|||
83|00:09:51.206|And a lot of that is not the current rate of inflation. A lot of that is just embedded higher costs due to higher inflation in 2022 and 23.|そして、その多くは現在のインフレ率によるものではありません。その多くは、2022年と23年の高インフレによって埋め込まれた（定着した）高コストなのです。|And a lot of that is not^S+V+C^core^そしてその多くは～ではありません|the current rate of inflation^Noun Phrase^core^現在のインフレ率（では）|A lot of that is just embedded higher costs^S+V+C^core^その多くは単に埋め込まれた高コストです|due to higher inflation^Prep Phrase^connector^より高いインフレのせいで|in 2022 and 23^Prep Phrase^modifier^2022年と23年の|
84|00:10:00.636|Once prices go up, they rarely come back down. But if you're lucky, rising wages outpace those price hikes.|一度価格が上がると、めったに下がることはありません。しかし運が良ければ、賃金の上昇がそれらの値上げを追い越します。|Once prices go up^Conjunction+S+V^connector^一度価格が上がると|they rarely come back down^S+V^core^それらは滅多に戻ってきません（下がりません）|But if you're lucky^Conjunction+S+V^connector^しかしもしあなたが幸運なら|rising wages outpace those price hikes^S+V+O^core^上昇する賃金がそれらの値上げを追い越します||
85|00:10:03.739|Powell says the best way to help with affordability is not only to get inflation down, but also to make sure we have a really strong job market.|パウエル氏は、手頃な価格（アフォーダビリティ）を助ける最善の方法は、インフレを下げるだけでなく、本当に強力な雇用市場を確保することだと述べています。|Powell says^S+V^core^パウエルは言います|the best way to help with affordability^Subject+Infinitive^core^アフォーダビリティを助ける最良の方法は|is not only to get inflation down^V+C^core^インフレを下げることだけではありません|but also to make sure^Conjunction+Infinitive^connector^しかしまた確実にすることでもあります|we have a really strong job market^S+V+O^core^私たちが本当に強い雇用市場を持つことを|
86|00:10:14.269|NPR's Scott Horsley, thanks so much. You're welcome.|NPRのスコット・ホースリー、どうもありがとう。どういたしまして。|NPR's Scott Horsley^Noun Phrase^core^NPRのスコット・ホースリー|thanks so much^Expression^connector^どうもありがとう|You're welcome^Expression^connector^どういたしまして|||
87|00:10:22.679|President Trump was the first to say that the U.S. military seized an oil tanker off the coast of Venezuela.|トランプ大統領は、米軍がベネズエラ沖で石油タンカーを拿捕したと最初に発言しました。|President Trump was the first to say^S+V+C+Infinitive^core^トランプ大統領は最初に言った人でした|that the U.S. military seized an oil tanker^Noun Clause^core^米軍が石油タンカーを拿捕したと|off the coast of Venezuela^Prep Phrase^modifier^ベネズエラ沖で|||
88|00:10:28.706|Attorney General Pam Bondi released a 45-second video showing what appeared to be U.S. forces and the Coast Guard rappelling from a helicopter onto the tanker.|パム・ボンディ司法長官は、米軍と沿岸警備隊と思われる部隊がヘリコプターからタンカーにラペリング降下する様子を映した45秒間の動画を公開しました。|Attorney General Pam Bondi released^S+V^core^司法長官パム・ボンディは公開しました|a 45-second video showing^Object+Participle^core^45秒のビデオを（～を映している）|what appeared to be U.S. forces and the Coast Guard^Noun Clause^core^米軍と沿岸警備隊であるように見えたもの|rappelling from a helicopter^Participle Phrase^modifier^ヘリコプターからラペリング降下している|onto the tanker^Prep Phrase^modifier^タンカーの上へ|
89|00:10:37.615|There's been a U.S. military buildup near Venezuela in recent weeks as Congress pushes for answers about U.S. strikes on alleged drug boats and specifically a September 2nd incident when the U.S. military killed two men.|ここ数週間、ベネズエラ近海で米軍の増強が行われています。これは、麻薬密輸船とされる船舶への米軍の攻撃、特に米軍が男性2人を殺害した9月2日の事件について、議会が回答を求めている中で起きています。|There's been a U.S. military buildup^There+V+S^core^米軍の増強がありました|near Venezuela^Prep Phrase^modifier^ベネズエラの近くで|in recent weeks^Time Adverb^modifier^ここ数週間|as Congress pushes for answers^Conjunction+S+V+Prep^connector^議会が回答を強く求める中で|about U.S. strikes on alleged drug boats^Prep Phrase^modifier^麻薬ボートとされる船への米国の攻撃について|and specifically a September 2nd incident^Noun Phrase^modifier^そして特に9月2日の事件（について）
90|00:10:48.951|who survived an initial round of strikes. So much to talk about, so we have called Steve Walsh, who covers the military for WHRO in Norfolk, Virginia.|彼らは最初の攻撃を生き延びた男性たちでした。話すべきことがたくさんありますので、バージニア州ノーフォークのWHROで軍事問題を担当するスティーブ・ウォルシュに電話をつなぎました。|who survived an initial round of strikes^Relative Clause^connector^（彼らは）最初の一連の攻撃を生き延びた|So much to talk about^Phrase^core^話すことがたくさんあります|so we have called Steve Walsh^Conjunction+S+V+O^connector^だから私たちはスティーブ・ウォルシュを呼びました|who covers the military^Relative Clause^modifier^（彼は）軍を取材しています|for WHRO in Norfolk, Virginia^Prep Phrase^modifier^バージニア州ノーフォークのWHROのために|
91|00:10:56.900|Steve, good morning. Morning, Steve. Why did the administration seize this oil tanker?|スティーブ、おはよう。おはよう、スティーブ。なぜ政権はこの石油タンカーを拿捕したのですか？|Steve, good morning^Greeting^connector^スティーブ、おはよう|Morning, Steve^Greeting^connector^おはよう、スティーブ|Why did the administration seize^Wh-Question^core^なぜ政権は拿捕したのですか|this oil tanker?^Object^core^この石油タンカーを||
92|00:11:01.462|Well, the details are just coming in, but after the president confirmed the seizure, Justice Department head Pam Bondi posted on social media that it was an oil tanker U.S. authorities had been watching and that it was used to transport sanctioned oil from Venezuela and Iran.|詳細はまだ入ってきたばかりですが、大統領が拿捕を確認した後、司法省のトップであるパム・ボンディがソーシャルメディアに投稿し、それは米当局が監視していた石油タンカーであり、ベネズエラとイランからの制裁対象の石油を輸送するために使われていたと述べました。|Well, the details are just coming in^S+V^core^ええ、詳細はちょうど入ってきているところです|but after the president confirmed the seizure^Conjunction+S+V+O^connector^しかし大統領が拿捕を確認した後|Justice Department head Pam Bondi posted^S+V^core^司法省長官パム・ボンディは投稿しました|on social media^Prep Phrase^modifier^ソーシャルメディアで|that it was an oil tanker U.S. authorities had been watching^Noun Clause^core^それは米当局が監視していた石油タンカーだったと|and that it was used to transport sanctioned oil^Noun Clause^connector^そしてそれは制裁対象の石油を運ぶために使われていたと
93|00:11:17.344|This could be a ratcheting up of not just military, but economic pressure on Venezuela and its president, Nicolas Maduro.|これは、ベネズエラとその大統領ニコラス・マドゥロに対する、軍事的圧力だけでなく経済的圧力の段階的な強化である可能性があります。|This could be a ratcheting up^S+V+C^core^これは段階的な強化かもしれません|of not just military, but economic pressure^Prep Phrase^modifier^軍事だけでなく経済的な圧力の|on Venezuela and its president, Nicolas Maduro^Prep Phrase^modifier^ベネズエラとその大統領ニコラス・マドゥロに対する|||
94|00:11:24.028|I want to clarify the law here. Venezuela has already called this piracy.|ここで法律を明確にしておきたいのですが。ベネズエラはすでにこれを海賊行為と呼んでいます。|I want to clarify the law here^S+V+O+Adverb^core^私はここで法律を明確にしたい|Venezuela has already called this piracy^S+V+O+C^core^ベネズエラは既にこれを海賊行為と呼びました|||
95|00:11:28.818|President Trump was asked, what are you going to do with the oil? He said, I guess we'll keep it. The U.S. just took the oil.|トランプ大統領は「石油をどうするつもりか」と聞かれ、「もらうことになるだろう」と答えました。アメリカはただ石油を奪ったのです。|President Trump was asked^S+V^core^トランプ大統領は尋ねられました|what are you going to do with the oil?^Wh-Question^core^あなたはその石油をどうするつもりですか？|He said, I guess we'll keep it^S+V+O^core^彼は言いました、私たちはそれを保持するだろうと|The U.S. just took the oil^S+V+O^core^米国はただその石油を奪いました||
96|00:11:34.653|Is there some legal basis for this? Well, there is a court order to do this. So this may not be part of a larger effort to seize all the oil coming out of Venezuela.|これに法的根拠はあるのでしょうか？ええ、これを行うための裁判所命令があります。ですから、これはベネズエラから出る石油をすべて差し押さえようとする大きな動きの一部ではないかもしれません。|Is there some legal basis for this?^Aux+There+S+Prep^core^これに対する法的根拠はありますか？|Well, there is a court order to do this^There+V+S+Infinitive^core^ええ、これを行うための裁判所命令があります|So this may not be part of a larger effort^Conjunction+S+V+C^connector^だからこれはより大きな取り組みの一部ではないかもしれません|to seize all the oil coming out of Venezuela^Infinitive Phrase^modifier^ベネズエラから出る全ての石油を差し押さえるための||
97|00:11:44.998|Okay. So we'll continue following that aspect of this. Now, I want to ask about the broader U.S. military campaign in the Caribbean.|なるほど。では、その側面については引き続き追っていきましょう。さて、カリブ海におけるより広範な米軍の作戦についてお聞きしたいのですが。|Okay. So we'll continue following^Connector+S+V+Gerund^core^なるほど。では私たちは追い続けるでしょう|that aspect of this^Object^core^この件のその側面を|Now, I want to ask^Connector+S+V+Infinitive^core^さて、私は尋ねたい|about the broader U.S. military campaign^Prep Phrase^modifier^より広範な米軍の作戦について|in the Caribbean^Prep Phrase^modifier^カリブ海での|
98|00:11:53.124|Admiral Alvin Halsey, who had been overseeing the Venezuela boat strikes, is stepping down this week. How important is that?|ベネズエラのボート攻撃を指揮していたアルビン・ホールジー提督が今週退任します。これはどれほど重要なことなのでしょうか？|Admiral Alvin Halsey^Subject^core^アルビン・ホールジー提督|who had been overseeing the Venezuela boat strikes^Relative Clause^connector^（彼は）ベネズエラのボート攻撃を監督していた|is stepping down this week^V+Adverb^core^今週退任します|How important is that?^Wh-Question^core^それはどれほど重要ですか？||
99|00:12:00.350|Well, we still have not heard a lot publicly about why Admiral Halsey is leaving. It's an incredibly unusual move for a top commander to leave one year into what is typically a three-year assignment.|そうですね、ホールジー提督がなぜ去るのかについては、公にはまだあまり聞いていません。通常3年の任務の1年目でトップの指揮官が去るというのは、非常に異例の動きです。|Well, we still have not heard a lot publicly^S+V+O+Adverb^core^ええ、私たちは公にはまだ多くを聞いていません|about why Admiral Halsey is leaving^Prep Phrase^modifier^なぜホールジー提督が去るのかについて|It's an incredibly unusual move^S+V+C^core^それは信じられないほど異例の動きです|for a top commander to leave^Infinitive Subject^modifier^トップ指揮官が去ることは|one year into what is typically a three-year assignment^Prep Phrase^modifier^通常3年の任務に入って1年で|
100|00:12:11.628|Halsey oversees Southern Command, which includes any military operation around South America.|ホールジーは南方軍を統括しており、これには南米周辺のあらゆる軍事作戦が含まれます。|Halsey oversees Southern Command^S+V+O^core^ホールジーは南方軍を監督しています|which includes any military operation^Relative Clause^connector^（それは）あらゆる軍事作戦を含みます|around South America^Prep Phrase^modifier^南アメリカ周辺の|||
101|00:12:17.793|There had been some media accounts that Halsey had a run-in with Secretary of Defense Pete Hegseth, but again, Halsey is not commenting and NPR has not confirmed that.|ホールジーがピート・ヘグセス国防長官と衝突したというメディアの報道もありましたが、ホールジーはコメントしておらず、NPRも確認していません。|There had been some media accounts^There+V+S^core^いくつかのメディアの報告がありました|that Halsey had a run-in^Noun Clause^connector^ホールジーが衝突（揉め事）があったという|with Secretary of Defense Pete Hegseth^Prep Phrase^modifier^ピート・ヘグセス国防長官と|but again^Conjunction^connector^しかし繰り返しになりますが|Halsey is not commenting^S+V^core^ホールジーはコメントしていません|and NPR has not confirmed that^Conjunction+S+V+O^connector^そしてNPRはそれを確認していません
102|00:12:26.841|He submitted his resignation about a month after the first deadly strike in September against a boat in the Caribbean that killed four people, which the Trump administration claims was carrying drugs.|彼は、9月にカリブ海で4人が死亡した最初の致命的なボート攻撃から約1ヶ月後に辞表を提出しました。トランプ政権はこのボートが麻薬を運んでいたと主張しています。|He submitted his resignation^S+V+O^core^彼は辞表を提出しました|about a month after the first deadly strike^Prep Phrase^modifier^最初の致命的な攻撃の約1ヶ月後に|in September^Time Adverb^modifier^9月に|against a boat in the Caribbean^Prep Phrase^modifier^カリブ海のボートに対する|that killed four people^Relative Clause^connector^（その攻撃は）4人を殺した|which the Trump administration claims was carrying drugs^Relative Clause^connector^（そのボートは）トランプ政権が麻薬を運んでいたと主張している
103|00:12:38.048|Keep in mind this operation started out as an effort to go after migrants using traditional means like Navy destroyers paired with Coast Guard law enforcement team.|覚えておいてほしいのですが、この作戦は当初、海軍の駆逐艦と沿岸警備隊の法執行チームを組み合わせるような伝統的な手段を使って移民を追跡する取り組みとして始まりました。|Keep in mind^Imperative^core^覚えておいてください|this operation started out^S+V^core^この作戦は始まりました|as an effort to go after migrants^Prep Phrase^modifier^移民を追う取り組みとして|using traditional means^Participle Phrase^modifier^伝統的な手段を使って|like Navy destroyers paired with Coast Guard law enforcement team^Prep Phrase^modifier^海軍駆逐艦と沿岸警備隊チームを組み合わせたような|
104|00:12:47.693|I talked with a friend of Halsey, retired Rear Admiral Sinclair Harris hasn't spoken to Halsey since he announced he was resigning, but he says the man nicknamed Bull would not have acted out of emotion.|私はホールジーの友人と話しました。退役少将のシンクレア・ハリスは、ホールジーが辞任を発表して以来彼と話していませんが、「ブル（雄牛）」のニックネームを持つ彼が感情で動くことはなかっただろうと語っています。|I talked with a friend of Halsey^S+V+Prep^core^私はホールジーの友人と話しました|retired Rear Admiral Sinclair Harris hasn't spoken to Halsey^S+V+Prep^core^退役少将シンクレア・ハリスはホールジーと話していません|since he announced he was resigning^Conjunction+S+V+O^connector^彼が辞任を発表して以来|but he says^Conjunction+S+V^connector^しかし彼は言います|the man nicknamed Bull^Subject^core^「ブル」というあだ名の男は|would not have acted out of emotion^Aux+V+Prep^core^感情から行動することはなかっただろうと
105|00:12:59.107|Bull always evaluates everything based on his beliefs, his beliefs and his country, what the Constitution says, what his responsibilities are to higher authority, to the forces that are under him.|ブルは常に、自身の信念、国への信念、憲法の内容、上層部への責任、そして配下の部隊への責任に基づいて、すべてを評価します。|Bull always evaluates everything^S+V+O^core^ブルは常に全てを評価します|based on his beliefs^Prep Phrase^modifier^彼の信念に基づいて|his beliefs and his country^Noun Phrase^modifier^彼の信念と彼の国（に基づいて）|what the Constitution says^Noun Clause^core^憲法が何と言っているか|what his responsibilities are^Noun Clause^core^彼の責任が何であるか|to higher authority^Prep Phrase^modifier^より高い権威に対して|to the forces that are under him^Prep Phrase^modifier^彼の下にいる部隊に対して
106|00:13:15.400|I think all those things are probably part of what factored into whatever decision he made.|これらすべてのことが、彼が下した決断の要因の一部だったのだろうと私は思います。|I think^S+V^core^私は思います|all those things are probably part^S+V+C^core^それら全てのことが恐らく一部であると|of what factored into whatever decision he made^Prep Phrase^modifier^彼がしたいかなる決断にも要因となったものの|||
107|00:13:21.721|Halsey did appear before lawmakers this week to try to address concerns over the ongoing boat strikes, but that was behind closed doors.|ホールジーは今週、議員たちの前に姿を現し、進行中のボート攻撃に対する懸念に対処しようとしましたが、それは非公開で行われました。|Halsey did appear before lawmakers^S+V+Prep^core^ホールジーは議員たちの前に現れました|this week^Time Adverb^modifier^今週|to try to address concerns^Infinitive^modifier^懸念に対処しようとするために|over the ongoing boat strikes^Prep Phrase^modifier^進行中のボート攻撃を巡る|but that was behind closed doors^Conjunction+S+V+Prep^connector^しかしそれは密室（非公開）でした|
108|00:13:30.033|We don't know what was said, but reports hint that Halsey was at least diplomatic.|何が話し合われたのかは分かりませんが、報道によると、ホールジーは少なくとも外交的だったようです。|We don't know what was said^S+V+O^core^私たちは何が言われたか知りません|but reports hint^Conjunction+S+V^connector^しかし報告は示唆しています|that Halsey was at least diplomatic^Noun Clause^core^ホールジーが少なくとも外交的であったことを|||
109|00:13:34.815|Okay, so what happens now? So, well, the fact remains that no top U.S. military official has really addressed lawmakers' concerns.|なるほど、ではこれからどうなるのでしょうか？そうですね、米軍のトップが議員たちの懸念にまともに答えていないという事実は残ったままです。|Okay, so what happens now?^Connector+Wh-Question^core^なるほど、では今何が起きますか？|So, well, the fact remains^Connector+S+V^core^そうですね、事実は残ります|that no top U.S. military official has really addressed^Noun Clause^connector^米軍トップの誰も本当に対処していないという|lawmakers' concerns^Object^core^議員たちの懸念に||
