ID|タイムスタンプ|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4|チャンク5|チャンク6
61|00:09:17.816|Exxon Mobil had had secret meetings with Rosneft, which is the biggest Russian state oil and gas company.|エクソンモービルは、ロシア最大の国営石油・ガス会社であるロスネフチと秘密裏に会合を持っていました。|Exxon Mobil had had secret meetings^S+V+O^core^エクソンモービルは秘密の会合を持っていました|with Rosneft^Prep Phrase^modifier^ロスネフチと|which is the biggest Russian state company^Rel Clause^connector^（それは）ロシア最大の国営企業である|||
62|00:09:43.595|Now, this is entirely a play that is dependent on there being a peace deal. At the moment, these assets don't make financial sense.|これは完全に和平協定の成立に依存した賭け（プレイ）です。現時点では、これらの資産は経済的に理にかなっていません。|Now, this is entirely a play^S+V+C^core^さて、これは完全に一つの「賭け」です|that is dependent on^Rel Clause^connector^～に依存している|there being a peace deal^Gerund Phrase^modifier^和平協定が存在すること（に）|At the moment^Time Phrase^modifier^現時点では|these assets don't make financial sense^S+V+O^core^これらの資産は経済的意味をなしません|
63|00:09:53.057|But if there was a peace deal, Europe needs energy, Russia provides cheap energy, and if American companies were in the middle, it could be a bonanza.|しかし、もし和平協定が結ばれれば、欧州はエネルギーを必要とし、ロシアは安いエネルギーを提供し、そこに米国企業が介在すれば、大儲け（ボナンザ）になる可能性があります。|But if there was a peace deal^Condition^connector^しかしもし和平協定があれば|Europe needs energy^S+V+O^core^欧州はエネルギーを必要とし|Russia provides cheap energy^S+V+O^core^ロシアは安いエネルギーを提供し|and if American companies were in the middle^Condition^connector^もし米国企業がその中間にいれば|it could be a bonanza^S+V+C^core^それは大儲けになり得ます|
64|00:10:04.486|There's no evidence that Witkoff or the White House are coordinating them. But these conversations are happening regardless.|ウィトコフやホワイトハウスが彼らを調整しているという証拠はありません。しかし、これらの会話は関係なく行われています。|There's no evidence^S+V^core^証拠はありません|that Witkoff or the White House are coordinating them^Noun Clause^connector^ウィトコフやホワイトハウスが彼らを調整しているという|But these conversations are happening^S+V^core^しかしこれらの会話は起きています|regardless^Adverb^modifier^（それとは）無関係に||
65|00:10:25.623|The Trump administration sees it as: "That's capitalism. Go forth and make money. We'll make the peace. You make the money."|トランプ政権はこう見ています。「それが資本主義だ。行って稼げ。我々が平和を作る。お前たちは金を稼げ」と。|The Trump administration sees it as^S+V+O^core^トランプ政権はそれを～として見ています|That's capitalism^Quote^core^「それは資本主義だ」|Go forth and make money^Imperative^core^「前進して金を稼げ」|We'll make the peace^S+V+O^core^「我々が平和を作る」|You make the money^S+V+O^core^「君たちが金を稼ぐんだ」|
66|00:10:33.407|But this peace through business approach hasn't been an easy sell to America's traditional allies.|しかし、この「ビジネスを通じた平和」というアプローチは、アメリカの伝統的な同盟国には受け入れられにくいものでした。|But this peace through business approach^Subject^core^しかしこの「ビジネスを通じた平和」アプローチは|hasn't been an easy sell^V+C^core^簡単な売り込み（説得）ではありませんでした|to America's traditional allies^Prep Phrase^modifier^アメリカの伝統的な同盟国にとって|||
67|00:10:50.749|[Ad] This episode is brought to you by FirstNet, built with AT&T. Learn more at firstnet.com.|[広告] このエピソードはFirstNet（AT&T）の提供です。詳細はfirstnet.comをご覧ください。|[Ad]^Tag^modifier^（広告）|This episode is brought to you^S+V^core^このエピソードは届けられます|by FirstNet^Prep Phrase^modifier^FirstNetによって|||
68|00:11:21.446|[Ad] This episode is brought to you by Zoom. Zoom is more than meetings. Learn more at zoom.com.|[広告] このエピソードはZoomの提供です。Zoomは会議以上のものです。詳細はzoom.comをご覧ください。|[Ad]^Tag^modifier^（広告）|This episode is brought to you^S+V^core^このエピソードは届けられます|by Zoom^Prep Phrase^modifier^Zoomによって|||
69|00:12:08.482|As spring turned into summer, Dmitriev and Witkoff's relationship grew. They charted their own course to end the Russia-Ukraine conflict.|春から夏にかけて、ドミトリエフとウィトコフの関係は深まりました。彼らはロシア・ウクライナ紛争を終わらせるための独自の進路を描きました。|As spring turned into summer^Time Phrase^modifier^春が夏に変わるにつれ|Dmitriev and Witkoff's relationship grew^S+V^core^ドミトリエフとウィトコフの関係は成長しました|They charted their own course^S+V+O^core^彼らは独自の進路を図表化（計画）しました|to end the Russia-Ukraine conflict^Infinitive^modifier^露宇紛争を終わらせるために||
70|00:12:21.158|Meanwhile, the U.S.'s European allies struggled to get a meeting with Witkoff. And Witkoff never once visited Ukraine.|一方、米国の欧州同盟国はウィトコフとの面会に苦労しました。そしてウィトコフは一度もウクライナを訪問しませんでした。|Meanwhile^Adverb^connector^その一方で|the U.S.'s European allies struggled^S+V^core^米国の欧州同盟国は苦闘しました|to get a meeting with Witkoff^Infinitive^modifier^ウィトコフとの会議を得るために|And Witkoff never once visited Ukraine^S+V+O^core^そしてウィトコフは一度もウクライナを訪れませんでした||
71|00:12:29.744|European heads of state wanted to talk to Witkoff using a secure line, but he didn't want to use it. Instead, he talks regularly with Dmitriev by phone.|欧州の首脳たちは安全な回線を使ってウィトコフと話したかったのですが、彼はそれを使いたがりませんでした。その代わり、彼はドミトリエフと電話で定期的に話しています。|European heads of state wanted to talk^S+V^core^欧州の首脳たちは話したがっていました|to Witkoff^Prep Phrase^modifier^ウィトコフと|using a secure line^Participle Phrase^modifier^安全な回線を使って|but he didn't want to use it^S+V+O^core^しかし彼はそれを使いたがりませんでした|Instead, he talks regularly^S+V^core^その代わりに、彼は定期的に話します|with Dmitriev by phone^Prep Phrase^modifier^ドミトリエフと電話で
72|00:13:00.975|One place where we saw Europe really having to scramble was after Alaska. Back in August, Trump invited Putin to a summit in Anchorage.|欧州が大慌てになった場面の一つが、アラスカの後でした。8月、トランプはプーチンをアンカレッジでの首脳会談に招待しました。|One place where we saw Europe scramble^Noun Clause^core^欧州が大慌てするのを見た一つの場面は|was after Alaska^V+C^core^アラスカの後でした|Back in August^Time Phrase^modifier^8月に遡ると|Trump invited Putin^S+V+O^core^トランプはプーチンを招待しました|to a summit in Anchorage^Prep Phrase^modifier^アンカレッジでのサミットに|
73|00:13:14.447|Witkoff and Dmitriev had believed that the time was right for a bilateral summit, where Putin and Trump could agree something.|ウィトコフとドミトリエフは、二国間サミットの機は熟しており、そこでプーチンとトランプが何か合意できると信じていました。|Witkoff and Dmitriev had believed^S+V^core^ウィトコフとドミトリエフは信じていました|that the time was right^Noun Clause^connector^時は正しい（機は熟した）と|for a bilateral summit^Prep Phrase^modifier^二国間サミットのために|where Putin and Trump could agree something^Rel Clause^connector^そこでプーチンとトランプが何か合意できる（ような）||
74|00:13:21.033|In Alaska, our reporting found that there was conversation about shared business interests. It wasn't just about the front line.|アラスカでは、我々の取材によると、共通のビジネス利益についての会話がありました。前線（戦況）についてだけではありませんでした。|In Alaska^Prep Phrase^modifier^アラスカにおいて|our reporting found^S+V^core^我々の取材は発見しました|that there was conversation^Noun Clause^connector^会話があったことを|about shared business interests^Prep Phrase^modifier^共有されたビジネス利益についての|It wasn't just about the front line^S+V^core^それは単に前線についてだけではありませんでした||
75|00:13:30.951|Ultimately, Putin wasn't ready to do a deal and there wasn't a deal that the Ukrainians would have accepted.|結局のところ、プーチンには取引をする準備がなく、ウクライナ人が受け入れるような取引も存在しませんでした。|Ultimately^Adverb^connector^最終的に|Putin wasn't ready to do a deal^S+V^core^プーチンは取引をする準備ができていませんでした|and there wasn't a deal^S+V^core^そして取引（案）はありませんでした|that the Ukrainians would have accepted^Rel Clause^connector^ウクライナ人が受け入れたであろう||
76|00:13:53.986|The Europeans had to quickly try to reach out to Trump himself beyond Witkoff to convince him of their talking points.|欧州勢は、自分たちの主張を納得させるため、ウィトコフを越えてトランプ本人に早急に接触を図らなければなりませんでした。|The Europeans had to quickly try to reach out^S+V^core^欧州勢は素早く接触を試みる必要がありました|to Trump himself^Prep Phrase^modifier^トランプ自身に|beyond Witkoff^Prep Phrase^modifier^ウィトコフを越えて（頭越しに）|to convince him^Infinitive^modifier^彼を納得させるために|of their talking points^Prep Phrase^modifier^彼らの主張（トーキングポイント）について|
77|00:14:10.028|We had a fantastic NATO summit together. Now we are here to work together on a just and lasting peace for Ukraine.|「素晴らしいNATO首脳会議ができました。今、私たちはウクライナの公正で永続的な平和のために協力するためにここにいます。」|We had a fantastic NATO summit together^S+V+O^core^我々は素晴らしいNATOサミットを共にしました|Now we are here to work together^S+V^core^今我々は協力するためにここにいます|on a just and lasting peace^Prep Phrase^modifier^公正で永続的な平和について|for Ukraine^Prep Phrase^modifier^ウクライナのための||
78|00:14:41.493|But in the background, Witkoff and Dmitriev were still in touch. They met in Miami and the "28-point plan" was what came of that meeting.|しかし裏では、ウィトコフとドミトリエフは連絡を取り合っていました。彼らはマイアミで会い、その会議から生まれたのが「28項目計画」でした。|But in the background^Prep Phrase^modifier^しかし背景（裏）では|Witkoff and Dmitriev were still in touch^S+V^core^ウィトコフとドミトリエフはまだ連絡中でした|They met in Miami^S+V^core^彼らはマイアミで会いました|and the "28-point plan" was^S+V+C^core^そして「28項目計画」こそが～でした|what came of that meeting^Noun Clause^core^その会議から生まれたもの|
79|00:14:58.991|A month later, the plan leaked. And it creates immediate protests from Europe.|1ヶ月後、その計画が漏洩しました。そしてそれは欧州からの即座の抗議を引き起こしました。|A month later^Time Phrase^modifier^1ヶ月後|the plan leaked^S+V^core^計画は漏洩しました|And it creates immediate protests^S+V+O^core^そしてそれは即座の抗議を生みました|from Europe^Prep Phrase^modifier^ヨーロッパからの||
80|00:15:05.482|Leaders in Europe are saying this reflects mostly Russian talking points, and it bulldozes through nearly all of Ukraine's red lines.|欧州の指導者たちは、これは主にロシア側の主張を反映しており、ウクライナの譲れない一線（レッドライン）のほぼ全てを無視して押し通すものだと言っています。|Leaders in Europe are saying^S+V^core^欧州の指導者たちは言っています|this reflects mostly Russian talking points^Noun Clause^connector^これは主にロシアの論点を反映していると|and it bulldozes through^S+V^core^そしてそれはブルドーザーのように押し通すと|nearly all of Ukraine's red lines^Object^core^ウクライナのレッドラインのほぼ全てを||
81|00:15:18.336|Ukraine would have to give up land and Russia make major gains. It limited the size of Ukraine's military and blocked the country's path to joining NATO.|ウクライナは領土を放棄せねばならず、ロシアは大きな利益を得ます。それはウクライナ軍の規模を制限し、NATO加盟への道を塞ぐものでした。|Ukraine would have to give up land^S+V+O^core^ウクライナは土地を諦めねばならないでしょう|and Russia make major gains^S+V+O^core^そしてロシアは大きな利益を得る（でしょう）|It limited the size of Ukraine's military^S+V+O^core^それはウクライナ軍のサイズを制限しました|and blocked the country's path^S+V+O^core^そして国の進路を塞ぎました|to joining NATO^Gerund^modifier^NATOに加盟することへの|
82|00:15:44.210|Ukraine's European allies said these provisions not only rewarded Moscow for its invasion, they also weakened Ukraine's efforts to return its country.|ウクライナの欧州同盟国は、これらの条項は侵略に対してモスクワに報酬を与えるだけでなく、国を取り戻そうとするウクライナの努力を弱めるものだと言いました。|Ukraine's European allies said^S+V^core^ウクライナの欧州同盟国は言いました|these provisions not only rewarded Moscow^S+V+O^core^これらの条項はモスクワに報いただけでなく|for its invasion^Prep Phrase^modifier^その侵略に対して|they also weakened Ukraine's efforts^S+V+O^core^それらはまたウクライナの努力を弱めました|to return its country^Infinitive^modifier^その国を戻す（回復する）ための|
83|00:15:53.943|The Polish prime minister said: "We know this is not about peace. It's about business."|ポーランド首相は言いました。「これが平和のためでないことは分かっている。ビジネスのためだ」と。|The Polish prime minister said^S+V^core^ポーランド首相は言いました|We know this is not about peace^Noun Clause^core^「これが平和についてではないと我々は知っている|It's about business^S+V^core^それはビジネスについてだ」と|||
84|00:16:09.538|Following the leak, Trump administration officials tried to assure Ukraine and Europe that the plan wasn't set in stone.|漏洩後、トランプ政権の当局者はウクライナと欧州に対し、計画は決定事項（石に刻まれたもの）ではないと保証しようとしました。|Following the leak^Prep Phrase^modifier^漏洩に続いて|Trump administration officials tried to assure^S+V+O^core^トランプ政権当局者は保証しようとしました|Ukraine and Europe^Object^core^ウクライナと欧州に|that the plan wasn't set in stone^Noun Clause^connector^計画は確定事項ではないことを||
85|00:16:16.342|European allies aren't reassured. They're worried that Russia is going to get rewarded with commercial opportunities after violently redrawing borders.|欧州の同盟国は安心していません。彼らは、暴力的に国境を引き直したロシアが、商業的な機会という報酬を得ることを懸念しています。|European allies aren't reassured^S+V+C^core^欧州の同盟国は安心していません|They're worried that^S+V^core^彼らは～と懸念しています|Russia is going to get rewarded^Noun Clause^connector^ロシアが報われようとしていることを|with commercial opportunities^Prep Phrase^modifier^商業的機会によって|after violently redrawing borders^Prep Phrase^modifier^暴力的に国境を引き直した後に|
86|00:16:25.654|This is a major moment of strain between the U.S. and Europe. European allies are asking if they are still in an alliance with the United States.|これは米国と欧州の間の緊張の大きな瞬間です。欧州の同盟国は、自分たちがまだ米国と同盟関係にあるのかどうか自問しています。|This is a major moment of strain^S+V+C^core^これは緊張の主要な瞬間です|between the U.S. and Europe^Prep Phrase^modifier^米国と欧州の間の|European allies are asking^S+V^core^欧州同盟国は尋ねています|if they are still in an alliance^Noun Clause^connector^彼らがまだ同盟の中にいるかどうか|with the United States^Prep Phrase^modifier^合衆国との|
87|00:17:00.732|This week, peace talks took place. Meetings were held between the U.S. and Ukraine and the U.S. and Russia.|今週、和平会談が行われました。米国とウクライナ、そして米国とロシアの間で会議が開かれました。|This week^Time Phrase^modifier^今週|peace talks took place^S+V^core^和平会談が行われました|Meetings were held^S+V^core^会議が開かれました|between the U.S. and Ukraine^Prep Phrase^modifier^米国とウクライナの間で|and the U.S. and Russia^Prep Phrase^modifier^そして米国とロシアの（間で）|
88|00:17:14.853|After hours of discussion, Putin rejected proposed changes to the peace plan that would better represent Ukraine's interests. No deal has been reached.|何時間もの議論の末、プーチンはウクライナの利益をよりよく反映させるための和平案への変更案を拒否しました。合意には至っていません。|After hours of discussion^Time Phrase^modifier^数時間の議論の後|Putin rejected proposed changes^S+V+O^core^プーチンは提案された変更を拒否しました|to the peace plan^Prep Phrase^modifier^和平案への|that would better represent Ukraine's interests^Rel Clause^connector^ウクライナの利益をよりよく代表するであろう|No deal has been reached^S+V^core^合意には達していません|
89|00:17:28.798|The idea that "What if we just made money with Russia? Then there would never be a reason to go to war." That's not a new one.|「もしロシアとお金を稼ぐだけで済むなら？そうすれば戦争をする理由はなくなる」という考え。それは新しいものではありません。|The idea that^Subject^core^～という考えは|What if we just made money with Russia?^Quote^connector^「もし我々がロシアと単にお金を稼いだら？」|Then there would never be a reason^Quote^connector^「そうすれば理由は決してないだろう」|to go to war^Infinitive^modifier^戦争へ行くための|That's not a new one^S+V+C^core^それは新しいもの（考え）ではありません|
90|00:17:41.258|That was the European consensus for decades. Let's embrace Russia as a business partner. That will constrain Putin.|それは何十年もの間、欧州のコンセンサスでした。「ロシアをビジネスパートナーとして受け入れよう。それがプーチンを抑制するだろう」と。|That was the European consensus^S+V+C^core^それは欧州のコンセンサス（合意事項）でした|for decades^Time Phrase^modifier^何十年もの間|Let's embrace Russia^Imperative^core^ロシアを受け入れよう|as a business partner^Prep Phrase^modifier^ビジネスパートナーとして|That will constrain Putin^S+V+O^core^それがプーチンを抑制するだろう（と）|
91|00:18:03.978|While that was happening, Putin invaded Georgia, Crimea, and finally invaded in 2022.|それが進行している間に、プーチンはジョージア、クリミアを侵略し、ついに2022年に（ウクライナへ）侵攻しました。|While that was happening^Adv Clause^modifier^それが起きている間に|Putin invaded Georgia, Crimea^S+V+O^core^プーチンはジョージア、クリミアを侵略しました|and finally invaded^S+V^core^そしてついに侵攻しました|in 2022^Time Phrase^modifier^2022年に||
92|00:18:14.087|Business with Russia in the European case constrained European foreign policy much more than it constrained Russian foreign policy.|欧州の事例では、ロシアとのビジネスは、ロシアの外交政策を抑制するよりも、はるかに欧州の外交政策を抑制してしまいました。|Business with Russia in the European case^Subject^core^欧州の事例におけるロシアとのビジネスは|constrained European foreign policy^S+V+O^core^欧州の外交政策を抑制しました|much more than^Comparison^connector^～よりもはるかに多く|it constrained Russian foreign policy^S+V+O^core^それがロシアの外交政策を抑制した（こと）||
93|00:18:30.173|Is there anything to indicate that it might be different because it's America? That's the administration's bet.|アメリカだから結果は違うかもしれないと示すものはありますか？それこそが政権の「賭け」なのです。|Is there anything to indicate^V+S^core^示すものはありますか|that it might be different^Noun Clause^connector^それは違うかもしれないということを|because it's America?^Adv Clause^modifier^それがアメリカだから|That's the administration's bet^S+V+C^core^それが政権の賭けです||
94|00:18:42.913|A question for history will be whether Putin sees this as a route to end the war, or just a way to distract the U.S.|歴史への問いは、プーチンがこれを戦争を終わらせる道と見ているのか、単に米国を気を逸らすための手段と見ているのか、ということになるでしょう。|A question for history will be^S+V+C^core^歴史への問いは～となるでしょう|whether Putin sees this^Noun Clause^connector^プーチンがこれを～と見ているかどうか|as a route to end the war^Prep Phrase^modifier^戦争を終わらせるルートとして|or just a way to distract the U.S.^Noun Phrase^core^あるいは単に米国をそらす方法（として）||
95|00:19:12.912|These negotiations really are never what they seem. There's always a hidden layer underneath.|これらの交渉は、決して見かけ通りのものではありません。その下には常に隠された層があります。|These negotiations really are never^S+V^core^これらの交渉は決して～ではありません|what they seem^Noun Clause^connector^それらが見える通りのもの（では）|There's always a hidden layer^S+V+S^core^常に隠された層があります|underneath^Adverb^modifier^その下に||
96|00:19:20.201|There's such a paradox. Putin clearly saw America as his greatest enemy. And yet now, he can see a generational opportunity.|そこには大きな逆説があります。プーチンは明らかにアメリカを最大の敵と見ていました。しかし今、彼は世代を超えた好機を見出しているのかもしれません。|There's such a paradox^S+V+S^core^そこには（そのような）逆説があります|Putin clearly saw America^S+V+O^core^プーチンは明らかにアメリカを見ました|as his greatest enemy^Prep Phrase^modifier^彼の最大の敵として|And yet now^Conjunction^connector^しかし、今や|he can see a generational opportunity^S+V+O^core^彼は世代的な（千載一遇の）機会を見ることができます|
97|00:19:38.701|An opportunity not just to realign Russia, but to potentially divide the old Western alliance, to divide America from Europe.|単にロシアを再調整するだけでなく、古い西側の同盟を分断し、アメリカを欧州から分断する機会です。|An opportunity^Noun Phrase^core^（それは）ある機会です|not just to realign Russia^Infinitive^modifier^単にロシアを再編するだけでなく|but to potentially divide^Infinitive^modifier^潜在的に分断するための|the old Western alliance^Object^core^古い西側同盟を|to divide America from Europe^Infinitive^modifier^アメリカを欧州から分断するための|
98|00:20:03.000|That's all for today. This episode was produced by the team at The Journal. Thanks for listening. See you on Monday.|今日は以上です。このエピソードは『ザ・ジャーナル』のチームが制作しました。お聞きいただきありがとうございます。また月曜日にお会いしましょう。|That's all for today^S+V^core^今日はこれで全てです|This episode was produced^S+V^core^このエピソードは制作されました|by the team at The Journal^Prep Phrase^modifier^『ザ・ジャーナル』のチームによって|Thanks for listening^Greeting^core^聴いてくれてありがとう|See you on Monday^Greeting^core^月曜日に会いましょう|
